min,lq,mean,median,uq,max,neval
1.16,1.16,1.16,1.16,1.16,1.16,1
1.83,1.83,1.83,1.83,1.83,1.83,1
693.01,693.01,693.01,693.01,693.01,693.01,1
3.69,3.69,3.69,3.69,3.69,3.69,1
5.19,5.19,5.19,5.19,5.19,5.19,1
805.32,805.32,805.32,805.32,805.32,805.32,1
689.2,689.2,689.2,689.2,689.2,689.2,1
573.82,573.82,573.82,573.82,573.82,573.82,1
700.61,700.61,700.61,700.61,700.61,700.61,1
615.47,615.47,615.47,615.47,615.47,615.47,1
685.91,685.91,685.91,685.91,685.91,685.91,1
702.75,702.75,702.75,702.75,702.75,702.75,1
656.78,656.78,656.78,656.78,656.78,656.78,1
664.89,664.89,664.89,664.89,664.89,664.89,1
372.23,372.23,372.23,372.23,372.23,372.23,1
848.39,848.39,848.39,848.39,848.39,848.39,1
671.34,671.34,671.34,671.34,671.34,671.34,1
1.05,1.05,1.05,1.05,1.05,1.05,1
981.49,981.49,981.49,981.49,981.49,981.49,1
626.57,626.57,626.57,626.57,626.57,626.57,1
656.61,656.61,656.61,656.61,656.61,656.61,1
642.03,642.03,642.03,642.03,642.03,642.03,1
696.71,696.71,696.71,696.71,696.71,696.71,1
694.78,694.78,694.78,694.78,694.78,694.78,1
641.12,641.12,641.12,641.12,641.12,641.12,1
752.85,752.85,752.85,752.85,752.85,752.85,1
2.84,2.84,2.84,2.84,2.84,2.84,1
2.33,2.33,2.33,2.33,2.33,2.33,1
3.83,3.83,3.83,3.83,3.83,3.83,1
3.5,3.5,3.5,3.5,3.5,3.5,1
3.87,3.87,3.87,3.87,3.87,3.87,1
4.96,4.96,4.96,4.96,4.96,4.96,1
2.18,2.18,2.18,2.18,2.18,2.18,1
3.69,3.69,3.69,3.69,3.69,3.69,1
2.29,2.29,2.29,2.29,2.29,2.29,1
2.3,2.3,2.3,2.3,2.3,2.3,1
2.11,2.11,2.11,2.11,2.11,2.11,1
3.3,3.3,3.3,3.3,3.3,3.3,1
3.91,3.91,3.91,3.91,3.91,3.91,1
13.27,13.27,13.27,13.27,13.27,13.27,1
14.4,14.4,14.4,14.4,14.4,14.4,1
41.54,41.54,41.54,41.54,41.54,41.54,1
