record_id,redcap_repeat_instrument,redcap_repeat_instance,name,gender,eye_color,race,hair_color,height,weight,publisher,skin_color,alignment,heroes_information_complete,power,super_hero_powers_complete
0,,,A-Bomb,Male,yellow,Human,"No Hair",203,441,"Marvel Comics",-,good,0,,
0,super_hero_powers,1,,,,,,,,,,,,"Accelerated Healing",0
0,super_hero_powers,2,,,,,,,,,,,,Durability,0
0,super_hero_powers,3,,,,,,,,,,,,Longevity,0
0,super_hero_powers,4,,,,,,,,,,,,"Super Strength",0
0,super_hero_powers,5,,,,,,,,,,,,Stamina,0
0,super_hero_powers,6,,,,,,,,,,,,Camouflage,0
0,super_hero_powers,7,,,,,,,,,,,,Self-Sustenance,0
1,,,"Abe Sapien",Male,blue,"Icthyo Sapien","No Hair",191,65,"Dark Horse Comics",blue,good,0,,
1,super_hero_powers,1,,,,,,,,,,,,Agility,0
1,super_hero_powers,2,,,,,,,,,,,,"Accelerated Healing",0
1,super_hero_powers,3,,,,,,,,,,,,"Cold Resistance",0
1,super_hero_powers,4,,,,,,,,,,,,Durability,0
1,super_hero_powers,5,,,,,,,,,,,,"Underwater breathing",0
1,super_hero_powers,6,,,,,,,,,,,,Marksmanship,0
1,super_hero_powers,7,,,,,,,,,,,,"Weapons Master",0
1,super_hero_powers,8,,,,,,,,,,,,Longevity,0
1,super_hero_powers,9,,,,,,,,,,,,Intelligence,0
1,super_hero_powers,10,,,,,,,,,,,,"Super Strength",0
1,super_hero_powers,11,,,,,,,,,,,,Telepathy,0
1,super_hero_powers,12,,,,,,,,,,,,Stamina,0
1,super_hero_powers,13,,,,,,,,,,,,Immortality,0
1,super_hero_powers,14,,,,,,,,,,,,Reflexes,0
1,super_hero_powers,15,,,,,,,,,,,,"Enhanced Sight",0
1,super_hero_powers,16,,,,,,,,,,,,Sub-Mariner,0
2,,,"Abin Sur",Male,blue,Ungaran,"No Hair",185,90,"DC Comics",red,good,0,,
2,super_hero_powers,1,,,,,,,,,,,,"Lantern Power Ring",0
3,,,Abomination,Male,green,"Human / Radiation","No Hair",203,441,"Marvel Comics",-,bad,0,,
3,super_hero_powers,1,,,,,,,,,,,,"Accelerated Healing",0
3,super_hero_powers,2,,,,,,,,,,,,Intelligence,0
